catch_id,caught_at,user_id,user_name,area_id,area_name,fish_id,fish_name,size,lure,weather
4506814,2023-04-25 19:42:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,43.0,feel120 - クリアパープル,小雨
4506812,2023-04-25 19:08:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,55.0,マニックスロー95 - マットブラックPBⅡ,小雨
4506808,2023-04-25 19:03:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,60.0,マニックスロー95 - マットブラックPBⅡ,小雨
4504104,2023-04-24 23:05:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,43.0,ノガレ120F - 銀粉トワイライト,小雨
4504101,2023-04-24 22:59:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,30.0,ノガレ120F - 銀粉トワイライト,小雨
4504080,2023-04-24 22:50:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,53.0,マニックスロー95 - マット赤イソメ,小雨
4504082,2023-04-24 22:04:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,28,ボラ,50.0,コルセア50 - マットピンク,小雨
4504100,2023-04-24 22:00:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,23.0,ノガレ120F - 銀粉メスバチピンク,小雨
4504095,2023-04-24 21:38:00+09:00,425515,🎣せさめ🎣,1148,水の広場公園,2,シーバス,26.0,ノガレ120F - 銀粉メスバチピンク,小雨
4504079,2023-04-24 21:22:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,52.0,ガレッタ65 - オレキン,小雨
4504073,2023-04-24 20:35:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,50.0,マニックスロー95 - マット赤イソメ,曇り
4504066,2023-04-24 20:22:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,60.0,マニックスロー95 - 赤虫レインボー,曇り
4504063,2023-04-24 19:31:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,55.0,マニックスロー95 - マットブラックPBⅡ,曇り
4504059,2023-04-24 19:21:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,60.0,マニックスロー95 - マットブラックPBⅡ,曇り
4496219,2023-04-22 22:18:00+09:00,703059,Takさん釣りたいな,1148,水の広場公園,969,チヌ,57.0,エリアテン - オーロラピンク,快晴
4494059,2023-04-22 21:12:00+09:00,799749,てての,1148,水の広場公園,2,シーバス,46.0,,快晴
4496295,2023-04-22 20:55:00+09:00,703059,Takさん釣りたいな,1148,水の広場公園,2,シーバス,50.0,,快晴
4539927,2023-04-22 20:46:00+09:00,883547,OJ0702,1148,水の広場公園,2,シーバス,25.0,マニック75,快晴
4494581,2023-04-22 20:26:00+09:00,428326,Ted412,1148,水の広場公園,2,シーバス,40.0,アルデンテ95S - bay night fever,快晴
4494539,2023-04-22 20:14:00+09:00,707009,勇輝　,1148,水の広場公園,2,シーバス,55.0,ヒソカ120F - マットバチピンク,快晴
4495533,2023-04-22 19:51:00+09:00,779661,アングラーヤマシタ,1148,水の広場公園,2,シーバス,25.0,月下美人 澪示威 SOLID 50 - キャンディ,快晴
4494567,2023-04-22 19:36:00+09:00,428326,Ted412,1148,水の広場公園,2,シーバス,50.0,ノガレ120F - チャートヘッドブラック,快晴
4493193,2023-04-22 17:00:00+09:00,665332,noricgeographic,1148,水の広場公園,576,サッパ,,,快晴
4490910,2023-04-22 09:01:00+09:00,354274,あにか10416,1150,有明西ふ頭公園,2,シーバス,55.0,ボウズのがれ,快晴
4489862,2023-04-21 23:15:00+09:00,999208,アングラーturbo,1148,水の広場公園,2,シーバス,50.0,,曇り
4489805,2023-04-21 20:51:00+09:00,533099,コマコマ,1148,水の広場公園,2,シーバス,32.0,ノガレ,快晴
4489835,2023-04-21 19:09:00+09:00,422146,KennyS,1148,水の広場公園,2,シーバス,50.0,ノガレ120F,快晴
4486962,2023-04-20 21:34:00+09:00,533099,コマコマ,1148,水の広場公園,2,シーバス,25.0,ヒソカ120f - マットライムピンクベリー,快晴
