catch_id,caught_at,user_id,user_name,area_id,area_name,fish_id,fish_name,size,lure
4531761,2023-05-02 19:06:00+09:00,707009,勇輝　,1148,水の広場公園,2,シーバス,40.0,アルカリシャッド75
4529096,2023-05-02 04:10:00+09:00,440557,寿司太郎,1148,水の広場公園,2,シーバス,40.0,ブレス60ss
4529102,2023-05-02 03:55:00+09:00,440557,寿司太郎,1148,水の広場公園,2,シーバス,35.0,ブレス60ss
4527995,2023-05-01 19:36:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,55.0,マニックスロー135 - マットブラックPBⅡ
4526992,2023-05-01 19:08:00+09:00,883054,シャ,1148,水の広場公園,2,シーバス,60.0,エリア10
4525467,2023-05-01 16:22:00+09:00,605555,ショウジン,1148,水の広場公園,969,チヌ,45.0,イガイ団子
4524462,2023-04-30 23:59:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,53.0,マニック95 - レッドゼブラグロー
4524449,2023-04-30 23:50:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,50.0,マニックスロー95 - マットブラックPBⅡ
4522850,2023-04-30 22:22:00+09:00,757087,Kオヤジ,1148,水の広場公園,2,シーバス,46.0,マニック95
4524445,2023-04-30 22:21:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,53.0,マニックスロー95 - マット赤イソメ
4524432,2023-04-30 20:59:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,65.0,マニックスロー95 - マットブラックPBⅡ
4524412,2023-04-30 20:39:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,55.0,マニックスロー95 - 赤虫レインボー
4518657,2023-04-29 20:06:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,35.0,マニックスロー95 - マット赤イソメ
4529650,2023-04-29 12:41:00+09:00,611927,のりくろ,1150,有明西ふ頭公園,793,フッコ（マルスズキ）,48.0,
4529646,2023-04-29 07:41:00+09:00,611927,のりくろ,1150,有明西ふ頭公園,793,フッコ（マルスズキ）,45.0,
4529641,2023-04-29 07:29:00+09:00,611927,のりくろ,1150,有明西ふ頭公園,793,フッコ（マルスズキ）,50.0,
4514180,2023-04-28 22:00:00+09:00,1044774,江東太郎,1148,水の広場公園,2,シーバス,60.0,エリア10
4511575,2023-04-28 08:21:00+09:00,605555,ショウジン,1150,有明西ふ頭公園,969,チヌ,47.0,イガイ団子
4510896,2023-04-27 21:48:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,50.0,マニックスロー135 - マットブラックPBⅡ
4510118,2023-04-27 21:42:00+09:00,708656,のふふぉ,1148,水の広場公園,793,フッコ（マルスズキ）,,
4509504,2023-04-27 19:22:00+09:00,999208,アングラーturbo,1148,水の広場公園,2,シーバス,65.0,
4510892,2023-04-27 18:56:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,30.0,マニックスロー95 - 赤虫レインボー
4508111,2023-04-26 22:38:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,55.0,マニックスロー95 - マット赤イソメ
4508109,2023-04-26 20:41:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,55.0,マニックスロー95 - マット赤イソメ
4508106,2023-04-26 18:58:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,62.0,マニックスロー95 - マットブラックPBⅡ
4507150,2023-04-26 00:01:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,51.0,マニックスロー135 - マットブラックPBⅡ
4507149,2023-04-25 23:40:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,65.0,マニックスロー115 - 焔レッド
4507148,2023-04-25 23:30:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,56.0,マニックスロー115 - 焔レッド
4507146,2023-04-25 23:08:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,65.0,マニック95 - レッドゼブラグロー
4507140,2023-04-25 22:48:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,58.0,アルデンテ70s - レッドパプリカ
4507136,2023-04-25 22:23:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,45.0,マニックスロー95 - 赤虫レインボー
4507032,2023-04-25 22:10:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,75.0,マニックスロー95 - マットブラックPBⅡ
4507002,2023-04-25 21:48:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,69.0,マニック95 - 江戸前パール
4506998,2023-04-25 21:17:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,969,チヌ,43.0,エリテン - オーロラピンク
4506995,2023-04-25 21:09:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,43.0,エリテン - オーロラピンク
4506991,2023-04-25 20:54:00+09:00,356539,Rock Book@釣り垢,1148,水の広場公園,2,シーバス,65.0,エリテン - オーロラピンク
